#separator:Tab
#html:true
#notetype:Basic
#deck:Egzamin Magisterski ISY
#columns:Front	Back	Tags
#tags column:3

Porównać 'siłę wyrazu' automatu skończonego, automatu ze stosem oraz maszyny Turinga. Jakie klasy języków rozpoznaje każdy z nich?	<b>Automat Skończony (FA)</b>: Języki regularne (Typ 3)<br><br><b>Automat ze Stosem (PDA)</b>: Języki bezkontekstowe (Typ 2)<br><br><b>Maszyna Turinga (TM)</b>: Języki rekurencyjnie przeliczalne (Typ 0)	egzamin_magisterski pyt01 AISDI pytanie_glowne
Wyjaśnij: Metoda AHP (Analytic Hierarchy Process)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR szczegoly
Wyjaśnij: Metoda PROMETHEE	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR szczegoly
Wyjaśnij: Metoda ELECTRE	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR szczegoly
Scharakteryzować relacje dominacji stochastycznej pierwszego i drugiego rzędu. Jak mogą być użyte w modelach wyboru w warunkach ryzyka?	$$A \succeq_{FSD} B \Leftrightarrow F_A(x) \leq F_B(x) \quad \forall x$$<br><br>$$A \succeq_{SSD} B \Leftrightarrow \int_{-\infty}^{x} F_A(t) dt \leq \int_{-\infty}^{x} F_B(t) dt \quad \forall x$$	egzamin_magisterski pyt42 WDWR pytanie_glowne
Wyjaśnij: Idea dominacji stochastycznej	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt42 WDWR szczegoly
Wyjaśnij: Dominacja stochastyczna pierwszego rzędu (FSD)	$$A \succeq_{FSD} B \Leftrightarrow F_A(x) \leq F_B(x) \quad \forall x$$	egzamin_magisterski pyt42 WDWR szczegoly
Wyjaśnij: Dominacja stochastyczna drugiego rzędu (SSD)	$$A \succeq_{SSD} B \Leftrightarrow \int_{-\infty}^{x} F_A(t) dt \leq \int_{-\infty}^{x} F_B(t) dt \quad \forall x$$	egzamin_magisterski pyt42 WDWR szczegoly
Wyjaśnij: Porównanie FSD i SSD	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt42 WDWR szczegoly
Wyjaśnij: Zastosowanie w modelach wyboru	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt42 WDWR szczegoly
Wyjaśnij: Testowanie dominacji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt42 WDWR szczegoly
Wyjaśnij: Notacja Graham'a (α|β|γ)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt43 ZBOP szczegoly
Wyjaśnij: Pole α - Środowisko maszynowe	Job 1 ──→ ┌───┐ ──→ ┌───┐ ──→ ┌───┐ ──→	egzamin_magisterski pyt43 ZBOP szczegoly
Wyjaśnij: Pole γ - Kryteria optymalizacji	Lⱼ = Cⱼ - dⱼ (lateness, może być ujemne)	egzamin_magisterski pyt43 ZBOP szczegoly
Wyjaśnij: Złożoność obliczeniowa	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt43 ZBOP szczegoly
Wyjaśnij: Algorytm Johnsona (F2 || Cmax)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt43 ZBOP szczegoly
Jakie problemy wiążą się z zarządzaniem zapasami w łańcuchu dostaw? Omówić przykładowy model zarządzania zapasami w łańcuchu dostaw.	Ordering cost = K × (D/Q) (D/Q zamówień rocznie)	egzamin_magisterski pyt44 ZBOP pytanie_glowne
Wyjaśnij: Łańcuch dostaw - struktura	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Problemy zarządzania zapasami	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Koszty zapasów	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Model EOQ (Economic Order Quantity)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Model z punktem zamawiania (ROP)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Model (s, S) / (R, Q)	s │──────╲──────────────╲──	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Vendor Managed Inventory (VMI)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt44 ZBOP szczegoly
Wyjaśnij: Pytanie	<b>&quot;Jaki jest cel Pana pracy magisterskiej i dlaczego wybrano akurat temat porównania silników gier?&quot;</b>	egzamin_magisterski pyt45 Ogólne szczegoly
Wyjaśnij: Odpowiedź wzorcowa	Celem pracy jest <b>kompleksowe porównanie wydajności i możliwości współczesnych silników gier</b> (Unity i Unreal Engine), ze szczególnym uwzględnieniem ich wpływu na proces tworzenia gier oraz końcową jakość produktu.	egzamin_magisterski pyt45 Ogólne szczegoly
